gene	01_SW_sgCTRL_Norm	02_SW_sgCTRL_Norm	17_SW_sgRELB_3_Hyp	18_SW_sgRELB_3_Hyp
DDX11L1	0	0	0	0
WASH7P	18	11	30	25
MIR6859-1	5	1	8	5
MIR1302-2HG	0	0	0	0
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC100996442	9	3	15	20
LOC729737	3	3	33	45
DDX11L17	0	0	0	0
WASH9P	52	32	59	64
MIR6859-2	0	0	0	0
LOC107985721	0	0	1	0
LOC112268260	0	0	0	1
OR4F29	0	0	0	0
LOC100132287	0	0	1	0
LOC105378947	0	0	0	0
LOC101928626	0	0	0	0
MIR12136	3	1	2	0
OR4F16	1	0	1	1
LOC100288069	74	44	153	118
LINC01409	7	8	16	22
FAM87B	1	4	2	4
LINC00115	26	19	29	23
LINC01128	416	336	424	402
LOC107984850	0	1	1	1
FAM41C	0	0	0	1
LOC284600	3	1	0	4
LINC02593	1	0	13	17
LOC107985728	2	1	23	32
SAMD11	2	1	9	9
NOC2L	5770	4383	3602	3739
KLHL17	649	486	512	634
PLEKHN1	223	193	192	224
PERM1	4	2	17	16
HES4	195	151	191	166
ISG15	744	586	667	651
AGRN	14336	10940	24477	26818
LOC100288175	125	126	210	208
LOC105378948	32	21	60	56
RNF223	14	7	5	12
C1orf159	674	473	453	503
LINC01342	0	0	2	1
MIR200B	0	2	5	2
MIR200A	7	5	5	6
MIR429	14	5	5	14
TTLL10-AS1	1	2	3	0
TTLL10	4	4	4	10
TNFRSF18	59	75	27	29
TNFRSF4	0	1	6	5
SDF4	4582	3337	4260	4569
B3GALT6	1689	1165	1041	1142
C1QTNF12	9	3	19	21
UBE2J2	1564	1188	1284	1292
LINC01786	38	33	112	115
SCNN1D	127	86	277	279
ACAP3	1846	1404	2106	2187
MIR6726	0	0	0	0
SNORD167	0	0	0	0
PUSL1	582	423	459	491
INTS11	2785	2151	2526	2787
MIR6727	1	0	0	1
CPTP	959	706	874	884
TAS1R3	13	13	12	9
DVL1	2312	1634	1632	1746
MIR6808	0	0	0	0
MXRA8	151	132	425	437
AURKAIP1	2490	1899	1913	2121
CCNL2	5371	4341	5809	5710
MRPL20-AS1	786	581	857	962
MRPL20	1648	1329	1435	1376
MRPL20-DT	182	138	216	189
LOC107984868	4	2	2	1
ANKRD65	2	1	2	5
ANKRD65-AS1	1	0	0	1
TMEM88B	17	9	63	76
LINC01770	2	2	4	5
LOC107985729	2	1	3	5
VWA1	190	120	196	216
ATAD3C	33	27	66	91
ATAD3B	1527	1134	767	789
ATAD3A	1967	1511	1145	1216
TMEM240	4	3	5	6
SSU72	1818	1380	1104	1182
FNDC10	142	119	110	135
LOC105378586	1	1	1	0
MIB2	671	520	961	995
MMP23B	3	3	1	5
CDK11B	1001	703	990	1012
SLC35E2B	937	703	1124	1178
MMP23A	0	1	2	1
CDK11A	518	397	520	609
SLC35E2A	441	315	625	647
LOC112268218	2	1	3	1
NADK	1508	1214	1426	1504
GNB1	9427	7300	10650	10742
GNB1-DT	3	4	14	13
CALML6	13	8	16	14
TMEM52	106	82	46	40
CFAP74	25	12	39	31
LOC107984872	9	3	26	28
LOC105378589	0	0	1	2
GABRD	6	6	3	4
LOC105378590	0	0	0	0
PRKCZ-DT	0	0	0	1
PRKCZ	366	277	648	677
PRKCZ-AS1	18	10	32	41
FAAP20	690	511	576	580
LOC112268219	154	135	230	214
